📺测试频道,#genre#
龍華日韓台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn11
華視新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv052
三立新聞iNEWS,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=iNEWS
寰宇財經台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv158
台視新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv051
中視新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv074
中天新聞台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv009
寰宇新聞台灣台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv156
寰宇新聞台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn14
龍華經典台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn21
龍華電影台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn03
去有風的地方,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii116
綜藝玩很大,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii130
全民星攻略,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii131
新聞‧財經,#genre#
parse=1 
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Yes娛樂,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii47
掏掏新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii50
柯文哲政治風波,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii51
華視新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv052
倪珍播新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=nnews-zh
三立新聞iNEWS,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=iNEWS
國際大小事,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii55
寰宇財經台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv158
台灣驕傲！感動不間斷,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii58
台視新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv051
中視新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv074
中天新聞台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv009
寰宇新聞台灣台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv156
寰宇新聞台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn14
第1財經,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii64
第1商業台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv104
國會頻道1台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv084
國會頻道2台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv085
倪珍英語新聞,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=nnews-en
大新聞大爆卦,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii201
新聞大白話,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii202
文茜的世界周報,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii203
寰宇全視界,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii204
文茜的世界財經周報,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii205
環球大戰線,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii206
少康戰情室,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii207
國民大會,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii208
綜合,#genre#
parse=1 
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
台視,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv066
中視,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv040
華視,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv041
好消息2台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-ftv17
好消息,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-ftv16
ELTV生活英語台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn20
亞洲旅遊台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv076
中天亞洲精采台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii36
Smart知識台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn19
東森購物1台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv102
